ID,ACTION,IS_DELETED
2778861,Client Visit,FALSE
2779045,Client Visit,FALSE
2779049,Client Visit,FALSE
2779051,Client Visit,FALSE
2779079,Client Visit,FALSE
2779109,Client Visit,FALSE
2779655,Client Visit,FALSE
2779665,Client Visit,FALSE
2779804,Client Visit,FALSE
2779815,Client Visit,FALSE
2779848,Client Visit,FALSE
2780036,Client Visit,FALSE
2780393,Client Visit,FALSE
2783208,Client Visit,FALSE
2786973,Client Visit,FALSE
2786977,Client Visit,FALSE
2787139,Client Visit,FALSE
2787144,Client Visit,FALSE
2788077,Client Visit,FALSE
2788084,Client Visit,FALSE
2788139,Client Visit,FALSE
2788270,Client Visit,FALSE
2788335,Client Visit,FALSE
2788369,Client Visit,FALSE
2788422,Client Visit,FALSE
2788951,Client Visit,FALSE
2789366,Client Visit,FALSE
2789821,Client Visit,FALSE
2789885,Client Visit,FALSE
2790137,Client Visit,FALSE
2790337,Client Visit,FALSE
2791056,Client Visit,FALSE
2791242,Client Visit,FALSE
2791243,Client Visit,FALSE
2791562,Client Visit,FALSE
2791896,Client Visit,FALSE
2791977,Client Visit,FALSE
2791985,Client Visit,FALSE
2792045,Client Visit,FALSE
2792663,Client Visit,FALSE
2792665,Client Visit,FALSE
2792948,Client Visit,FALSE
2793113,Client Visit,FALSE
2796740,Client Visit,FALSE
2797138,Client Visit,FALSE
2797365,Client Visit,FALSE
2797797,Client Visit,FALSE
2799718,Client Visit,FALSE
2801250,Client Visit,FALSE
2801342,Client Visit,FALSE
2801361,Client Visit,FALSE
2802707,Client Visit,FALSE
2805255,Client Visit,FALSE
2805298,Client Visit,FALSE
2808159,Client Visit,FALSE
2808160,Client Visit,FALSE
2808214,Client Visit,FALSE
2809138,Client Visit,FALSE
2810332,Client Visit,FALSE
2810469,Client Visit,FALSE
2811512,Client Visit,FALSE
2812170,Client Visit,FALSE
2812416,Client Visit,FALSE
2812431,Client Visit,FALSE
2814395,Client Visit,FALSE
2814407,Client Visit,FALSE
2814474,Client Visit,FALSE
2818940,Client Visit,FALSE
2818941,Client Visit,FALSE
2818983,Client Visit,FALSE
2818985,Client Visit,FALSE
2818987,Client Visit,FALSE
2818989,Client Visit,FALSE
2819052,Client Visit,FALSE
2819053,Client Visit,FALSE
2819545,Client Visit,FALSE
2821932,Client Visit,FALSE
2822132,Client Visit,FALSE
2822752,Client Visit,FALSE
2822762,Client Visit,FALSE
2823378,Client Visit,FALSE
2823990,Client Visit,FALSE
2824004,Client Visit,FALSE
2827636,Client Visit,FALSE
2827835,Client Visit,FALSE
2855691,Client Visit,FALSE
2855778,Client Visit,FALSE
2856525,Client Visit,FALSE
2857122,Client Visit,FALSE
2860160,Client Visit,FALSE
2861247,Client Visit,FALSE
2861868,Client Visit,FALSE
2862988,Client Visit,FALSE
2863768,Client Visit,FALSE
2863892,Client Visit,FALSE
2868405,Client Visit,FALSE
2875355,Client Visit,FALSE
2875800,Client Visit,FALSE
2876911,Client Visit,FALSE
2877566,Client Visit,FALSE
2884714,Client Visit,FALSE
2886749,Client Visit,FALSE
2886759,Client Visit,FALSE
2886762,Client Visit,FALSE
2886764,Client Visit,FALSE
2886881,Client Visit,FALSE
2887280,Client Visit,FALSE
2887292,Client Visit,FALSE
2890351,Client Visit,FALSE
2893047,Client Visit,FALSE
2893782,Client Visit,FALSE
2893839,Client Visit,FALSE
2893840,Client Visit,FALSE
2893872,Client Visit,FALSE
2893962,Client Visit,FALSE
2894191,Client Visit,FALSE
2894379,Client Visit,FALSE
2895115,Client Visit,FALSE
2895125,Client Visit,FALSE
2898282,Client Visit,FALSE
2898755,Client Visit,FALSE
2898767,Client Visit,FALSE
2902416,Client Visit,FALSE
2903193,Client Visit,FALSE
2905381,Client Visit,FALSE
2906509,Client Visit,FALSE
2909061,Client Visit,FALSE
2909812,Client Visit,FALSE
2911131,Client Visit,FALSE
2915079,Client Visit,FALSE
2917241,Client Visit,FALSE
2917511,Client Visit,FALSE
2918903,Client Visit,FALSE
2922068,Client Visit,FALSE
2924507,Client Visit,FALSE
2928614,Client Visit,FALSE
2929401,Client Visit,FALSE
2932701,Client Visit,FALSE
2933505,Client Visit,FALSE
2933805,Client Visit,FALSE
2935347,Client Visit,FALSE
2935361,Client Visit,FALSE
2944736,Client Visit,FALSE
2944737,Client Visit,FALSE
2945110,Client Visit,FALSE
2945307,Client Visit,FALSE
2945308,Client Visit,FALSE
2945310,Client Visit,FALSE
2945311,Client Visit,FALSE
2946574,Client Visit,FALSE
2947019,Client Visit,FALSE
2947132,Client Visit,FALSE
2948321,Client Visit,FALSE
2948323,Client Visit,FALSE
2948344,Client Visit,FALSE
2949241,Client Visit,FALSE
2950109,Client Visit,FALSE
2950118,Client Visit,FALSE
2950119,Client Visit,FALSE
2950121,Client Visit,FALSE
2952888,Client Visit,FALSE
2953064,Client Visit,FALSE
2954016,Client Visit,FALSE
2954078,Client Visit,FALSE
2954777,Client Visit,FALSE
2956902,Client Visit,FALSE
2956954,Client Visit,FALSE
2959212,Client Visit,FALSE
2959761,Client Visit,FALSE
2960096,Client Visit,FALSE
2960113,Client Visit,FALSE
2960114,Client Visit,FALSE
2960117,Client Visit,FALSE
2960122,Client Visit,FALSE
2960125,Client Visit,FALSE
2960127,Client Visit,FALSE
2960132,Client Visit,FALSE
2960144,Client Visit,FALSE
2960145,Client Visit,FALSE
2960148,Client Visit,FALSE
2960149,Client Visit,FALSE
2960152,Client Visit,FALSE
2960154,Client Visit,FALSE
2960157,Client Visit,FALSE
2960293,Client Visit,FALSE
2960294,Client Visit,FALSE
2961351,Client Visit,FALSE
2963203,Client Visit,FALSE
2963605,Client Visit,FALSE
2964163,Client Visit,FALSE
2964267,Client Visit,FALSE
2964981,Client Visit,FALSE
2967253,Client Visit,FALSE
2967255,Client Visit,FALSE
2968674,Client Visit,FALSE
2969194,Client Visit,FALSE
2970130,Client Visit,FALSE
2970408,Client Visit,FALSE
2970928,Client Visit,FALSE
2970931,Client Visit,FALSE
2971041,Client Visit,FALSE
2971061,Client Visit,FALSE
2973517,Client Visit,FALSE
2975660,Client Visit,FALSE
2975709,Client Visit,FALSE
2975810,Client Visit,FALSE
2975909,Client Visit,FALSE
2977717,Client Visit,FALSE
2977719,Client Visit,FALSE
2977723,Client Visit,FALSE
2977725,Client Visit,FALSE
2979071,Client Visit,FALSE
2979077,Client Visit,FALSE
2980835,Client Visit,FALSE
2981408,Client Visit,FALSE
2981987,Client Visit,FALSE
2985405,Client Visit,FALSE
2985454,Client Visit,FALSE
2985472,Client Visit,FALSE
2988059,Client Visit,FALSE
2989622,Client Visit,FALSE
2993994,Client Visit,FALSE
3001258,Client Visit,FALSE
3006041,Client Visit,FALSE
3007371,Client Visit,FALSE
3007385,Client Visit,FALSE
3007570,Client Visit,FALSE
3007741,Client Visit,FALSE
3012017,Client Visit,FALSE
3015890,Client Visit,FALSE
3015905,Client Visit,FALSE
3015986,Client Visit,FALSE
3017437,Client Visit,FALSE
3018215,Client Visit,FALSE
3019806,Client Visit,FALSE
3025301,Client Visit,FALSE
3025443,Client Visit,FALSE
3035633,Client Visit,FALSE
3038642,Client Visit,FALSE
3039391,Client Visit,FALSE
3051892,Client Visit,FALSE
3051937,Client Visit,FALSE
3068560,Client Visit,FALSE
3075735,Client Visit,FALSE
3076335,Client Visit,FALSE
3080314,Client Visit,FALSE
3080585,Client Visit,FALSE
3080655,Client Visit,FALSE
3080715,Client Visit,FALSE
3081634,Client Visit,FALSE
3081640,Client Visit,FALSE
3081664,Client Visit,FALSE
3081665,Client Visit,FALSE
3083910,Client Visit,FALSE
3083919,Client Visit,FALSE
3084973,Client Visit,FALSE
3085018,Client Visit,FALSE
3085078,Client Visit,FALSE
3085203,Client Visit,FALSE
3087856,Client Visit,FALSE
3087924,Client Visit,FALSE
3088614,Client Visit,FALSE
3088634,Client Visit,FALSE
3090002,Client Visit,FALSE
3090080,Client Visit,FALSE
3093784,Client Visit,FALSE
3098163,Client Visit,FALSE
3100265,Client Visit,FALSE
3100483,Client Visit,FALSE
